Distance;ShortName1;Time1;Speed1;Stroke1;ShortName2;Time2;Speed2;Stroke2;ShortName3;Time3;Speed3;Stroke3;ShortName4;Time4;Speed4;Stroke4;ShortName5;Time5;Speed5;Stroke5;ShortName6;Time6;Speed6;Stroke6;
305;USA2;00:57.373;5.2;38.0;GBR1;00:56.458;5.4;39.0;AUS2;00:56.640;5.4;39.0;IRL1;00:58.567;5.3;43.0;ITA1;00:57.855;5.3;42.0;;00:00.000;0.0;0.0
310;USA2;00:58.422;5.2;38.0;GBR1;00:57.460;5.4;38.0;AUS2;00:57.653;5.4;39.0;IRL1;00:59.536;5.3;42.0;ITA1;00:58.879;5.3;42.0;;00:00.000;0.0;0.0
315;USA2;00:59.395;5.2;38.0;GBR1;00:58.286;5.4;38.0;AUS2;00:58.547;5.4;40.0;IRL1;01:00.533;5.3;42.0;ITA1;00:59.835;5.3;42.0;;00:00.000;0.0;0.0
320;USA2;01:00.313;5.2;38.0;GBR1;00:59.311;5.4;38.0;AUS2;00:59.457;5.4;40.0;IRL1;01:01.381;5.3;42.0;ITA1;01:00.706;5.3;42.0;;00:00.000;0.0;0.0
325;USA2;01:01.371;5.1;38.0;GBR1;01:00.238;5.4;38.0;AUS2;01:00.445;5.4;40.0;IRL1;01:02.400;5.3;42.0;ITA1;01:01.735;5.3;41.0;;00:00.000;0.0;0.0
330;USA2;01:02.232;5.1;38.0;GBR1;01:01.141;5.3;38.0;AUS2;01:01.261;5.4;39.0;IRL1;01:03.382;5.3;41.0;ITA1;01:02.662;5.3;41.0;;00:00.000;0.0;0.0
335;USA2;01:03.302;5.1;37.0;GBR1;01:02.152;5.3;38.0;AUS2;01:02.278;5.4;39.0;IRL1;01:04.245;5.3;41.0;ITA1;01:03.574;5.3;41.0;;00:00.000;0.0;0.0
340;USA2;01:04.294;5.1;37.0;GBR1;01:02.979;5.3;38.0;AUS2;01:03.166;5.4;39.0;IRL1;01:05.284;5.2;41.0;ITA1;01:04.593;5.3;41.0;;00:00.000;0.0;0.0
345;USA2;01:05.217;5.1;37.0;GBR1;01:04.022;5.3;38.0;AUS2;01:04.096;5.4;39.0;IRL1;01:06.268;5.2;41.0;ITA1;01:05.512;5.3;41.0;;00:00.000;0.0;0.0
350;USA2;01:06.284;5.1;37.0;GBR1;01:04.942;5.3;38.0;AUS2;01:05.081;5.4;39.0;IRL1;01:07.157;5.2;41.0;ITA1;01:06.451;5.2;41.0;;00:00.000;0.0;0.0
